New Rules for the New Economy	Kevin Kelly
Cyber War: The Next Threat to National Security and What to Do About It	Richard A. Clarke
The Rise of the Creative Class	Richard Florida
Everything Bad is Good For You: How Today’s Popular Culture is Actually Making Us Smarter	Steven Johnson
Quiet: The Power of Introverts in a World That Can’t Stop Talking	Susan Cain
Extra Lives: Why Video Games Matter	Tom Bissell
The Power of Co-Creation: Build it With Them to Boost Growth, Productivity, and Profits	Venkat Ramaswamy
Big Data	Viktor Mayer-Schonberger
Employees First, Customers Second: Turning Conventional Management Upside Down	Vineet Nayar
Lords of Strategy: The Secret History of the New Corporate World	Walter Kiechel
Beyond the Hoax	Alan Sokal
Fashionable Nonsense	Alan Sokal
Don't Mourn, Balkanize!	Andrej Grubacic
The Verso Book of Dissent	Andrew Hsiao
Workers' Councils	Anton Pannekoek
Field Notes on Democracy	Arundhati Roy
Understanding Capitalism	Douglas Dowd
State Terrorism and the United States	Frederick Gareau
The Punishment of Gaza	Gideon Levy
Bad Samaritans	Ha-Joon Chang
A People's History of the United States	Howard Zinn
Al-Qaeda	Jason Burke
A Theory of Power	Jeff Vail
The Deaths of Others	John Tirman
How America Gets Away with Murder	Michael Mandel
Business as Usual	Paul Mattick
The ABCs of Political Economy	Robin Hahnel
Bakunin on Anarchism	Sam Dolgoff
The Anarchist Collectives	Sam Dolgoff
Talking to the Enemy	Scott Atran
The Birth of Israel	Simha Flapan
Whose Crisis? Whose Future?	Susan George
The Altenberg 16	Susan Mazur
Between the Lines	Tikva Honig-Parnass
Killing Hope	William Blum
The Doors of Perception and Heaven and Hell	Aldous Huxley
The Perennial Philosophy	Aldous Huxley
Self-Deception Unmasked	Alfred Mele
Infidel	Ayaan Hirsi Ali
Nomad	Ayaan Hirsi Ali
The Caged Virgin	Ayaan Hirsi Ali
The Skeptic Way	Benson Mates
The Crisis of Islam	Bernard Lewis
Mindfulness in Plain English	Bhante Henepola Gunaratana
The Cleanest Race	BR Myers
The Fabric of the Cosmos: Space, Time, and the Texture of Reality	Brian Greene
Fundamentals of Human Neuropsychology	Bryan Kolb
Extraordinary Popular Delusions and the Madness of Crowds	Charles Mackay
Commissurotomy, Consciousness, and Unity of Mind	Charles Marks
The Aquariums of Pyongyang	Chol-hwan Kang
Hitch-22	Christopher Hitchens
Letters to a Young Contrarian	Christopher Hitchens
The Enemy	Christopher Hitchens
Why Orwell Matters	Christopher Hitchens
The Mysterious Flame	Colin McGinn
10% Happier	Dan Harris
Hitler's Willing Executioners	Daniel Jonah Goldhagen
Judgment Under Uncertainty	Daniel Kahneman
Dialogues Concerning Natural Religion	David Hume
Animal Minds	Donald Griffin
The Mind's I	Douglas Hofstadter
This Republic of Suffering	Drew Gilpin Faust
The Executive Brain	Elkhonon Goldberg
Principles of Neural Science	Eric Kandel
Behavior in Public Places	Erving Goffman
The Presentation of Self in Everyday Life	Erving Goffman
A Delusion of Satan	Frances Hill
The End of Days	Gershom Gorenberg
An Anatomy of Thought	Ian Glynn
Critique of Pure Reason 	Immanuel Kant
Kant: Ethical Philosophy: Grounding for the Metaphysics of Morals, and, Metaphysical Principles of Virtue, with, "On a Supposed Right to Lie Because of Philanthropic Concerns"	Immanuel Kant
Isaac Newton	James Gleick
The Mysterious Universe	James Jeans
Examined Lives	James Miller
You Are Not a Gadget: A Manifesto	Jaron Lanier
The Awakening of Intelligence	Jiddu Krishnamurti
Erwin Schrodinger and the Quantum Revolution 	John Gribbin
Game Change	John Heilemann
Three Cups of Deficit	Jon Krakauer
Under the Banner of Heaven	Jon Krakauer
Humanity	Jonathan Glover
The Experience of Insight	Joseph Goldstein
Synaptic Self	Joseph LeDoux
Utilitarianism	JS Mill
The Cambridge Handbook of Thinking and Reasoning	Keith Holyoak
The Suicide of Reason	Lee Harris
Dark Ages	Lee McIntyre
The Drunkard's Walk	Leonard Mlodinow
Evilicious	Marc Hauser
Moral Minds	Marc Hauser
Mirroring People	Marco Iacoboni
The Primacy of Perception	Maurice Merleau-Ponty
Kingdom Coming	Michelle Goldberg
Neuroethics	Neil Levy
A History of the Mind	Nicholas Humphrey
Higher Superstition	Paul Gross
History of Christianity	Paul Johnson
The Symposium	Plato
Porphyry's Against the Christians	Porphyry
The Drowned and the Saved	Primo Levi
The Periodic Table	Primo Levi
The Age of Spiritual Machines	Ray Kurzweil
Bertrand Russell	Ray Monk
Ludwig Wittgenstein	Ray Monk
The Oxford Companion to the Mind	Richard L. Gregory
Without Conscience	Robert D. Hare
Brighter than a Thousand Suns	Robert Jungk
The Ends of the Earth	Robert Kaplan
I of the Vortex	Rodolfo R. Llinas
Ethics for the Real World	Ronald Howard
A Companion to the Philosphy of the Mind	Samuel Guttenplan
The Clash of Civilizations	Samuel Huntington
WAR	Sebastian Junger
Seven Pillars of Wisdom	TE Lawrence
Food of the Gods	Terence McKenna
True Hallucinations	Terence McKenna
Perfect Soldiers	Terry McDermott
Leviathan	Thomas Hobbes
The Structure of Scientific Revolutions	Thomas Kuhn
Being No One	Thomas Metzinger
Neural Correlates of Consciousness	Thomas Metzinger
Other Minds	Thomas Nagel
The Last Word	Thomas Nagel
King James Study Bible	Thomas Nelson
What's God Got to Do with It?	Tim Page
Central Philosophy of Buddhism	TRV Murti
Among the Believers	VS Naipaul
The Portable Nietzsche	Walter Kaufmann
Eye for an Eye	William Ian Miller
Faking It	William Ian Miller
Humiliation	William Ian Miller
The Anatomy of Disgust	William Ian Miller
Essays in Radical Empiricism 	William James
The Principles of Psychology	William James
The Quotable Hitchens	Windsor Mann
The Theory of Moral Sentiments 	Adam Smith
The Gulag Archipelago	Aleksandr I. Solzhenitsyn
Jesus: A Life	AN Wilson
Paul	AN Wilson
The Noonday Demon	Andrew Solomon
The Road to Martyrs' Square	Anne Marie Oliver
The Paradox of Choice	Barry Schwartz
The Significance of Philosophical Scepticism	Barry Stroud
Ethics	Baruch Spinoza
Autobiography	Bertrand Russell
Religion and Science	Bertrand Russell
The Problems of Philosophy	Bertrand Russell
Why I Am Not a Christian and Other Essays on Religion and Related Subjects	Bertrand Russell
Zen at War	Brian Victoria
The Demon-Haunted World: Science as a Candle in the Dark	Carl Sagan
The Encyclopedia of Psychoactive Plants	Christian Ratsch
Memory, Brain, and Belief	Daniel Schacter
The Nature of Mind	David Rosenthal
The Abandonment of the Jews	David S. Wyman
My View of the World	Erwin Schrodinger
What Is Life?	Erwin Schrodinger
The Future of Freedom	Fareed Zakaria
Philosophical Dictionary	Francois Voltaire
When the Air Hits Your Brain	Frank T. Vertosick Jr.
Free Will	Gary Watson
Persons And Places	George Santayana
Scepticism And Animal Faith	George Santayana
Atheism	George Smith
The Religion of Jesus the Jew	Geza Vermes
Why I Am Not a Muslim	Ibn Warraq
The Illustrated Jesus Through the Centuries	Jaroslav Pelikan
Storming Heaven: LSD and the American Dream	Jay Stevens
Being and Nothingness	Jean-Paul Sartre
My Stroke of Insight	Jill Bolte Taylor
Self-Liberation through Seeing with Naked Awareness	John Myrdhin Reynolds
Knowledge, Possibility, and Consciousness	John Perry
A Theory of Justice	John Rawls
Justice as Fairness	John Rawls
The Construction of Social Reality 	John Searle
The Rediscovery of the Mind	John Searle
The Psychopath Test	Jon Ronson
Passage to Juneau	Jonathan Raban
The Fate of the Earth and The Abolition 	Jonathan Schell
The Unfinished Twentieth Century	Jonathan Schell
On Liberty	JS Mill
The Open Society and Its Enemies, Vol. 1	Karl Popper
American Theocracy	Kevin Phillips
Breath by Breath	Larry Rosenberg
Righteous	Lauren Sandler
Going Clear	Lawrence Wright
Challenging Nature	Lee Silver
Three Roads To Quantum Gravity	Lee Smolin
Six Impossible Things Before Breakfast	Lewis Wolpert
On Certainty	Ludwig Wittgenstein
Philosophical Grammar	Ludwig Wittgenstein
Tractatus Logico-Philosophicus	Ludwig Wittgenstein
Islam in the World	Malise Ruthven
Letters From The Earth	Mark Twain
What Is Man? And Other Essays	Mark Twain
Our Final Hour	Martin Rees
Genome	Matt Ridley
Where Is Science Going? 	Max Planck
Our Mathematical Universe	Max Tegmark
Economy and Society	Max Weber
Why Darwin Matters	Michael Shermer
The Anatomy of Evil	Michael Stone
Swami Prabhavananda	Niall Shanks
The Heart of Buddhist Meditation	Nyanaponika Thera
An Anthropologist on Mars	Oliver Sacks
The Man Who Mistook His Wife For A Hat	Oliver Sacks
The Life You Can Save	Peter Singer
Writings on an Ethical Life	Peter Singer
Living High and Letting Die	Peter Unger
The Nonsense of Free Will	R. T. Oerton
Consequences Of Pragmatism	Richard Rorty
Anarchy, State, and Utopia	Robert Nozick
Natural Selection and Social Theory	Robert Trivers
Shadows of the Mind	Roger Penrose
The Emperor's New Mind	Roger Penrose
The Large, the Small and the Human Mind	Roger Penrose
Joseph Anton: A Memoir	Salman Rushdie
How We Die	Sherwin B. Nuland
The Professor and the Madman	Simon Winchester
How the Mind Works	Steven Pinker
The Blank Slate	Steven Pinker
The Art Of War	Sun Tzu
Shankara's Crest Jewel of Discrimination	Swami Prabhavananda
The User Illusion	Tor Norretranders
Quintessential Dzogchen	Tulku Urgyen Rinpoche
Phantoms in the Brain	V. S. Ramachandran
God: The Failed Hypothesis	Victor Stenger
Open Secret	Wei Wei Wu Wei
Labyrinths of Reason	William Poundstone
Prisoner's Dilemma	William Poundstone
Companion to Clinical Neurology	William Pryse-Phillips
Darkness Visible	William Styron
Faith at War	Yaroslav Trofimov
Eurabia	Ye'or Bat
Food for the Heart	Ajahn Chah
Blasphemy: How the Religious Right is Hijacking	Alan Dershowitz
Ideas and Opinions	Albert Einstein
Out of My Later Years	Albert Einstein
The Day of the Barbarians	Alessandro Barbero
The Legacy of Jihad	Andrew Bostom
Descartes Error	Antonio Damasio
Looking for Spinoza	Antonio Damasio
The Nature of the Physical World	AS Eddington
Ending Aging	Aubrey de Grey
Misquoting Jesus: The Story Behind Who Changed the Bible and Why	Bart Ehrman
Among the Thugs	Bill Buford
Influence: The Psychology of Persuasion	Bob Cialdini
While Europe Slept	Bruce Bawer
Tracing Back the Radiance: Chinul’s Korean Way of Zen	Chinul
The Oxford Companion to the Body	Colin Blakemore
Predictably Irrational: The Hidden Forces that Shape Our Decisions	Dan Ariely
Breaking the Spell	Daniel Dennett
Darwin’s Dangerous Idea: Evolution and the Meanings of Life	Daniel Dennett
Freedom Evolves	Daniel Dennett
The Intentional Stance	Daniel Dennett
Stumbling on Happiness	Daniel Gilbert
Voodoo Histories	David Aaronovitch
The End of Illness	David Agus
The Conscious Mind: In Search of a Fundamental Theory	DJ Chalmers
The History of the Decline and Fall of the Roman Empire	Edward Gibbon
Crowds and Power	Elias Canetti
Suicide	Emile Durkheim
The Second Machine Age	Erik Brynjolfsson
The Denial of Death	Ernest Becker
Cities on a Hill	F. Scott Fitzgerald
Imagined Worlds	Freeman Dyson
Stripping the Gurus	Geoffrey Falk
Breakdown of Will	George Ainslie
A Universe Of Consciousness How Matter Becomes Imagination	Gerald Edelman
Second Nature: Brain Science and Human Knowledge	Gerald Edelman
Eichmann in Jerusalem	Hannah Arendt
Omens of Millennium	Harold Bloom
The Book of J	Harold Bloom
My Lunches with Orson	Henry Jaglom
The Mental and the Physical: The Essay and a Postscript	Herbert Feigl
Self-Deception	Herbert Fingarette
Without Sanctuary	James Allen
The Life of Samuel Johnson	James Boswell
Honor	James Bowman
The Psychopath Inside	James Fallon
The Golden Bough	James Frazer
Collapse: How Societies Choose to Fail or Succeed	Jared Diamond
The Diving Bell and the Butterfly	Jean-Dominique Bauby
Why Evolution Is True	Jerry Coyne
The Destructive Power of Religion	JH Ellens
Slouching Toward Bethlehem	Joan Didion
The Year of Magical Thinking	Joan Didion
Thinking and Deciding	Jonathan Baron
The Flight of the Garuda	Keith Dowman
The Nature of Explanation	KJW Craik
Experiments in Ethics	Kwame Anthony Appiah
Gandhi An Autobiography: The Story of My Experiments With Truth	Mahatma Gandhi
The Holocaust: A History of the Jews of Europe During the Second World War	Martin Gilbert
Daily Rituals: How Artists Work	Mason Currey
The Ethical Brain	Michael Gazzaniga
Who’s In Charge? Free Will and the Science of the Brain	Michael Gazzaniga
Discipline & Punish: The Birth of the Prison	Michel Foucault
The Nature of Consciousness	Ned Block
The Koran	NJ Dawood
Europe: A History	Norman Davies
The Kingdom of Auschwitz: 1940-1945	Otto Freidrich
The Really Hard Problem: Meaning in a Material World	Owen Flanagan
Religion Explained	Pascal Boyer
Terror and Liberalism	Paul Berman
Just Babies	Paul Bloom
When Time Shall Be No More	Paul Boyer
Into the Silent Land	Paul Broks
Matter and Consciousness: A Contemporary Introduction to the Philosophy of Mind	Paul Churchland
Scientific Realism and the Plasticity of Mind	Paul Churchland
The Engine of Reason	Paul Churchland
A Devil’s Chaplain	Richard Dawkins
Climbing Mount Improbable	Richard Dawkins
The God Delusion	Richard Dawkins
The Selfish Gene	Richard Dawkins
Six Not-So-Easy Pieces	Richard Feynman
The Character of Physical Law	Richard Feynman
The Feynman Lectures on Physics: The Definitive and Extended Edition	Richard Feynman
Mapping the Mind	Rita Carter
On Being Certain	Robert Burton
The Anatomy of Melancholy	Robert Burton
Patterns of Culture	Ruth Benedict
The Future of an Illusion	Sigmund Freud
Mind-Blindness	Simon Baron Cohen
The Science of Evil	Simon Baron Cohen
The Book of Dead Philosophers	Simon Critchley
Lying	Sissela Bok
Sleep Thieves	Stanley Coren
Buddhism without Beliefs	Stephen Batchelor
Conversations on Consciousness	Susan Blackmore
The Heart of Awareness: A Translation of the Ashtavakra Gita	Thomas Byrom
Altered Egos: How the Brain Creates the Self	Todd Feinberg
In Cold Blood	Truman Capote
Average Is Over	Tyler Cowen
Self-Contradictions of the Bible	William Burr
The Crisis of Capitalist Democracy	Richard Posner
The Descent of Man	Charles Darwin
Final Exit	Derek Humphrey
The Methods of Ethics	Henry Sidgwick
Pride & Prejudice	Jane Austen
In the Shadow of Man	Jane Goodall
Humanity	Jonathan Glover
On Liberty	JS Mill
Silent Spring	Rachel Carson
How Much Is Enough?	Robert Skidelsky
Electric Light	Seamus Heaney
The Inflationary Universe: The Quest for a New Theory of Cosmic Origins	Alan Guth
Philosophical Letters	Francois Voltaire
The Birth and Death of the Sun	George Gamow
The Mysterious Universe	James Jeans
Warped Passages	Lisa Randall
The Selfish Gene	Richard Dawkins
The Character of Physical Law	Richard Feynman
On a Piece of Chalk	Thomas Huxley
The Whole Shebang	Timothy Ferris